Knoten,Vektoren,Arrays
8340,690.68,40.92
6255,384.8,16.88
1518,29.4,4.24
1716,37.04,4.64
1885,44.44,5.24
4312,233.76,11.44
3910,192.32,8.36
3053,118.12,5.52
4464,252.44,10.12
5837,432.48,27.0
4396,242.44,9.72
8526,927.08,30.88
7241,656.2,23.4
3570,63.2,21.16
4105,214.24,9.2
3082,113.12,5.72
1594,31.72,2.48
8980,74.08,14.32
5376,349.84,13.8
2671,86.08,4.64
4090,208.96,9.04
5874,434.68,16.24
3477,147.48,6.84
2692,87.64,4.8
5516,377.12,14.76
4271,216.04,9.44
9464,1083.48,36.2
6554,43.04,9.6
5581,383.52,14.8
3861,178.92,8.36
8511,68.0,16.64
8145,64.92,13.44
4192,214.44,9.92
3760,169.2,8.24
4534,236.4,10.4
2764,92.72,4.96
6453,505.16,18.32
9568,84.36,15.72
4416,226.24,9.84
4032,198.24,8.48
7511,55.28,11.52
