Knoten,Vektoren,Arrays
16035,4.3968,1.3149000000000002
13508,3.1139,0.9082
19295,6.338100000000001,1.8828
19555,6.4823,1.9381
19462,6.4028,1.9789
19925,6.7673000000000005,2.0297
74491,55.4167,27.008599999999998
98361,63.6782,36.5829
13488,3.0995,0.9456
11339,0.1242,0.0343
27108,2.6885,0.5527000000000001
14282,0.22219999999999998,0.0572
50977,3.8781,0.769
20897,1.4510999999999998,0.30119999999999997
130026,14.2272,4.189100000000001
13846,0.5496,0.13440000000000002
47450,1.0042,0.2725
14458,0.22740000000000002,0.0578
17968,0.2843,0.0727
17188,0.2705,0.0694
21619,1.4287999999999998,0.29860000000000003
49578,2.4574000000000003,0.5929
