Knoten,Vektoren,Arrays
8340,48.56,38.12
6255,26.96,19.36
1518,7.68,3.88
1716,7.48,4.0
1885,8.52,4.76
4312,39.0,23.36
3910,33.52,18.72
3053,19.36,11.52
4464,41.72,24.12
5837,68.08,41.76
4396,39.28,24.36
8526,151.36,93.2
7241,106.64,65.16
3570,43.6,26.64
4105,35.2,21.48
3082,20.4,13.08
1594,6.44,4.12
8980,67.96,11.32
5376,62.08,37.32
2671,14.6,9.52
4090,34.6,20.64
5874,74.48,43.72
3477,25.48,15.72
2692,15.24,9.8
5516,62.04,38.68
4271,37.6,22.88
9464,192.0,115.52
6554,36.88,7.4
5581,66.32,39.24
3861,31.84,19.52
8511,62.64,11.2
8145,55.76,10.0
4192,37.4,21.96
3760,28.84,18.44
4534,42.64,25.6
2764,16.72,10.68
6453,85.44,52.28
9568,74.4,12.6
4416,41.16,25.28
4032,33.52,20.68
7511,49.52,9.2
