Knoten,Vektoren,Arrays
11339,0.095,0.011
13488,2.291,0.112
13508,2.336,0.086
13846,0.397,0.02
14282,0.168,0.016
14458,0.175,0.017
16035,3.287,0.146
17188,0.208,0.021
17968,0.226,0.022
19295,4.724,0.207
19462,4.532,0.185
19555,4.771,0.206
19925,4.903,0.204
20897,1.34,0.05
21619,1.339,0.05
27108,2.623,0.09
47450,0.775,0.074
49578,0.891,0.083
50977,3.485,0.124
74491,19.659,0.87
98361,19.6,2.811
130026,10.451,0.364
