Knoten,Vektoren,Arrays
1518,28.72,4.14
1594,30.7,2.12
1716,36.48,2.88
1885,43.8,2.72
2671,85.8,4.6
2692,87.1,4.66
2764,92.8,4.84
3053,116.5,5.5
3082,111.5,5.74
3477,146.3,6.96
3570,57.3,10.66
3760,170.1,8.02
3861,180.5,8.54
3910,190.1,8.94
4032,198.5,9.08
4090,204.9,9.18
4105,211.1,9.62
4192,214.9,9.62
4271,213.0,10.08
4312,231.6,10.28
4396,242.2,10.48
4416,225.2,12.86
4464,247.4,10.86
4534,236.4,11.2
5376,343.8,14.7
5516,372.9,16.26
5581,380.9,16.3
5837,427.1,17.52
5874,427.2,18.34
6255,370.1,18.72
6453,505.7,20.88
6554,39.5,5.92
7241,652.8,26.98
7511,51.2,7.16
8145,61.4,8.12
8340,657.7,35.48
8511,64.0,8.7
8526,907.1,37.48
8980,67.7,8.98
9464,1076.3,43.38
9568,78.2,9.64
