Knoten,Vektoren,Arrays
16035,6.831600000000001,6.8199
13508,5.7801,5.7717
19295,8.218399999999999,8.1956
19555,8.2437,8.238700000000001
19462,8.0555,8.0398
19925,8.359200000000001,8.3522
74491,12.0912,12.0895
98361,7.894100000000001,7.8393999999999995
13488,5.7113000000000005,5.7118
11339,0.2948,0.2979
27108,3.4473000000000003,3.4448000000000003
14282,0.4268,0.4395
50977,2.6275999999999997,2.613
20897,2.3331999999999997,2.3205999999999998
130026,3.2075,3.2197
13846,1.1112,1.1117000000000001
47450,0.5882999999999999,0.6
14458,0.43410000000000004,0.43889999999999996
17968,0.4392,0.4363
17188,0.43439999999999995,0.4395
21619,2.2409,2.2483
49578,1.4390999999999998,1.4347
