Knoten,Vektoren,Arrays
8340,2635.4,2647.2
6255,1972.96,1981.4
1518,622.48,624.08
1716,711.88,712.04
1885,780.44,778.92
4312,1817.72,1813.88
3910,1644.48,1639.08
3053,1287.72,1289.32
4464,1871.72,1872.48
5837,2477.36,2482.52
4396,1837.68,1835.44
8526,3582.28,3582.4
7241,3048.72,3048.32
3570,567.52,566.56
4105,1717.68,1710.84
3082,1253.92,1246.48
1594,644.68,648.16
8980,270.4,260.64
5376,2211.36,2203.08
2671,1094.2,1094.72
4090,1706.92,1705.6
5874,2466.44,2465.96
3477,1443.96,1445.48
2692,1101.88,1106.52
5516,2288.72,2289.08
4271,1733.32,1734.64
9464,3905.24,3900.52
6554,204.28,204.8
5581,2310.92,2310.6
3861,1598.6,1598.08
8511,257.36,263.16
8145,259.68,264.04
4192,1760.84,1757.72
3760,1552.8,1551.28
4534,1816.72,1817.76
2764,1134.72,1138.48
6453,2677.76,2684.88
9568,296.04,294.32
4416,1773.52,1773.88
4032,1687.76,1688.04
7511,240.0,233.6
