Knoten,Greedy,Greedy_Rev,Greedy_Vote,Greedy_Ran,Heuristic
8340,2109.88,2065.0,2106.0,2635.4,2066.0
6255,1577.82,1554.0,1574.0,1972.96,1554.0
1518,495.66,510.0,483.52,622.48,635.0
1716,563.64,581.0,547.8,711.88,724.0
1885,617.88,642.0,597.28,780.44,789.0
4312,1454.14,1479.0,1398.64,1817.72,1825.0
3910,1313.26,1334.0,1272.76,1644.48,1671.0
3053,1019.94,1041.0,984.84,1287.72,1302.0
4464,1491.76,1503.0,1443.44,1871.72,1928.0
5837,1990.7,2008.0,1911.12,2477.36,2511.0
4396,1476.08,1475.0,1419.48,1837.68,1911.0
8526,2891.1,2880.0,2794.08,3582.28,3714.0
7241,2442.4,2458.0,2348.0,3048.72,3187.0
3570,336.24,372.0,311.56,567.52,370.0
4105,1390.5,1391.0,1341.4,1717.68,1757.0
3082,970.22,999.0,934.08,1253.92,1218.0
1594,505.84,517.0,493.64,644.68,635.0
8980,174.6,177.0,174.68,270.4,174.0
5376,1736.58,1776.0,1677.12,2211.36,2171.0
2671,851.7,866.0,817.36,1094.2,1047.0
4090,1340.54,1367.0,1307.08,1706.92,1671.0
5874,1975.0,2001.0,1906.4,2466.44,2537.0
3477,1127.38,1144.0,1086.16,1443.96,1404.0
2692,865.4,886.0,835.76,1101.88,1083.0
5516,1827.48,1839.0,1771.48,2288.72,2325.0
4271,1349.2,1378.0,1299.44,1733.32,1658.0
9464,3089.1,3137.0,2975.24,3905.24,3848.0
6554,135.94,137.0,135.96,204.28,136.0
5581,1826.28,1859.0,1772.96,2310.92,2263.0
3861,1257.58,1277.0,1206.52,1598.6,1591.0
8511,172.9,172.0,173.0,257.36,173.0
8145,172.2,176.0,172.12,259.68,174.0
4192,1384.22,1399.0,1329.6,1760.84,1771.0
3760,1222.12,1244.0,1170.12,1552.8,1533.0
4534,1407.56,1447.0,1355.6,1816.72,1728.0
2764,902.4,914.0,870.6,1134.72,1117.0
6453,2126.48,2159.0,2047.84,2677.76,2665.0
9568,192.92,195.0,192.92,296.04,193.0
4416,1375.12,1403.0,1328.24,1773.52,1691.0
4032,1325.34,1343.0,1274.28,1687.76,1677.0
7511,156.6,158.0,156.8,240.0,157.0
