Knoten,Greedy,Greedy_Rev,Greedy_Vote,Greedy_Ran,Heuristic
16035,0.1628,0.36160000000000003,0.1206,1.3149000000000002,0.1417
13508,0.09809999999999999,0.2479,0.07909999999999999,0.9082,0.052
19295,0.1849,0.5231,0.1391,1.8828,0.1108
19555,0.1869,0.5486,0.1394,1.9381,0.1034
19462,0.1675,0.5332,0.13019999999999998,1.9789,0.1036
19925,0.18330000000000002,0.5581,0.1474,2.0297,0.1065
74491,0.7724,4.8495,0.8859,27.008599999999998,1.615
98361,2.6544,6.8785,3.0894,36.5829,4.2496
13488,0.1164,0.2605,0.0717,0.9456,0.0503
11339,0.0144,0.015,0.0141,0.0343,0.042
27108,0.0778,0.2114,0.1015,0.5527000000000001,0.2081
14282,0.017,0.021,0.0225,0.0572,0.06520000000000001
50977,0.1093,0.4734,0.15669999999999998,0.769,0.6972
20897,0.0464,0.12029999999999999,0.0594,0.30119999999999997,0.1281
130026,0.32130000000000003,1.7459,0.4491,4.189100000000001,4.3513
13846,0.0195,0.0479,0.023899999999999998,0.13440000000000002,0.0583
47450,0.07390000000000001,0.1414,0.10809999999999999,0.2725,0.6167
14458,0.0172,0.023100000000000002,0.0248,0.0578,0.06620000000000001
17968,0.028399999999999998,0.039799999999999995,0.0394,0.0727,0.0974
17188,0.023600000000000003,0.0294,0.0308,0.0694,0.0902
21619,0.046200000000000005,0.1198,0.0608,0.29860000000000003,0.1348
49578,0.07579999999999999,0.2746,0.1142,0.5929,0.6644
