Knoten,Greedy,Greedy_Rev,Greedy_Vote,Greedy_Ran,Heuristic
232411,84.514,81.438,78.58,0.0,99.061
359510,128.467,143.536,119.518,0.0,155.67
468356,169.172,212.612,156.622,0.0,0.0
255237,91.027,87.997,84.93,0.0,107.962
410236,51.426,68.137,49.312,0.0,55.045
325882,115.464,113.763,107.319,0.0,139.341
962308,1.028,1908.987,1.032,0.0,0.0
400727,49.466,1.055,47.542,2.077,0.0
435834,155.845,81.353,145.959,0.0,53.297
474466,168.518,194.643,157.066,0.0,180.846
381951,138.732,247.243,129.505,0.0,202.765
295560,110.501,158.419,103.191,0.0,161.619
281903,14.26,105.895,14.089,0.0,127.546
130026,2.155,14.611,2.11,23.143,17.807
1086400,1.104,2.213,1.108,3.195,2.978
1196685,1.178,1304.821,236.813,0.0,361.0
