Knoten,Vektoren,Arrays
8340,2980.0,2065.0
6255,2235.0,1554.0
1518,678.0,510.0
1716,791.0,581.0
1885,846.0,642.0
4312,2020.0,1479.0
3910,1864.0,1334.0
3053,1447.0,1041.0
4464,2122.0,1503.0
5837,2783.0,2008.0
4396,2103.0,1475.0
8526,4092.0,2880.0
7241,3479.0,2458.0
3570,1859.0,372.0
4105,1928.0,1391.0
3082,1414.0,999.0
1594,697.0,517.0
8980,180.0,177.0
5376,2450.0,1776.0
2671,1220.0,866.0
4090,1870.0,1367.0
5874,2751.0,2001.0
3477,1620.0,1144.0
2692,1243.0,886.0
5516,2596.0,1839.0
4271,1952.0,1378.0
9464,4364.0,3137.0
6554,140.0,137.0
5581,2540.0,1859.0
3861,1831.0,1277.0
8511,180.0,172.0
8145,180.0,176.0
4192,1975.0,1399.0
3760,1746.0,1244.0
4534,2073.0,1447.0
2764,1273.0,914.0
6453,3013.0,2159.0
9568,200.0,195.0
4416,2024.0,1403.0
4032,1898.0,1343.0
7511,160.0,158.0
