Knoten,Greedy,Greedy_Rev,Greedy_Vote,Greedy_Ran,Heuristic
16035,5.5266,5.54,5.3172,6.8199,7.045
13508,4.6689,4.705,4.507,5.7717,6.013
19295,6.5898,6.656,6.3521,8.1956,8.438
19555,6.6273,6.641,6.3843000000000005,8.238700000000001,8.525
19462,6.318,6.423,6.079,8.0398,7.856
19925,6.6855,6.792,6.4493,8.3522,8.55
74491,7.0756000000000006,7.432,6.8024,12.0895,7.575
98361,4.709899999999999,5.03,4.5668,7.8393999999999995,4.507
13488,4.5978,4.629,4.4375,5.7118,5.95
11339,0.1941,0.197,0.194,0.2979,0.194
27108,2.6146,2.638,2.5296999999999996,3.4448000000000003,3.346
14282,0.285,0.287,0.2848,0.4395,0.284
50977,1.8387,1.887,1.7908,2.613,2.44
20897,1.7279,1.774,1.6785,2.3205999999999998,2.208
130026,2.1589,2.213,2.1069,3.2197,2.978
13846,0.7537999999999999,0.77,0.7425,1.1117000000000001,0.992
47450,0.3958,0.398,0.3956,0.6,0.38
14458,0.2896,0.29,0.2898,0.43889999999999996,0.289
17968,0.293,0.292,0.293,0.4363,0.294
17188,0.2912,0.291,0.2914,0.4395,0.29
21619,1.6508,1.69,1.5904,2.2483,2.117
49578,0.8936000000000001,0.924,0.8776,1.4347,1.249
