Knoten,Vektoren,Arrays
16035,3.3537,0.1206
13508,2.3623000000000003,0.07909999999999999
19295,4.7667,0.1391
19555,4.8723,0.1394
19462,4.6162,0.13019999999999998
19925,4.9975,0.1474
74491,22.4572,0.8859
98361,33.9897,3.0894
13488,2.3234,0.0717
11339,0.1135,0.0141
27108,2.6772,0.1015
14282,0.1871,0.0225
50977,3.7264,0.15669999999999998
20897,1.3822,0.0594
130026,12.3491,0.4491
13846,0.4163,0.023899999999999998
47450,0.8613,0.10809999999999999
14458,0.19190000000000002,0.0248
17968,0.2491,0.0394
17188,0.2331,0.0308
21619,1.3588,0.0608
49578,1.7925,0.1142
