Knoten,Vektoren,Arrays
16035,0.5916,0.36160000000000003
13508,0.3917,0.2479
19295,0.7782,0.5231
19555,0.8125,0.5486
19462,0.8068,0.5332
19925,0.8543,0.5581
74491,8.709700000000002,4.8495
98361,22.35,6.8785
13488,0.4123,0.2605
11339,0.1012,0.015
27108,0.6945,0.2114
14282,0.1613,0.021
50977,2.1611,0.4734
20897,0.4066,0.12029999999999999
130026,13.107899999999999,1.7459
13846,0.1721,0.0479
47450,1.6777,0.1414
14458,0.165,0.023100000000000002
17968,0.2536,0.039799999999999995
17188,0.2271,0.0294
21619,0.43,0.1198
49578,2.0012,0.2746
