Knoten,Greedy,Greedy_Rev,Greedy_Vote,Greedy_Ran,Heuristic
8340,35.48,38.12,40.92,241.52,41.8
6255,18.72,19.36,16.88,143.6,21.44
1518,4.14,3.88,4.24,11.36,3.4
1716,2.88,4.0,4.64,13.8,1.88
1885,2.72,4.76,5.24,18.36,2.08
4312,10.28,23.36,11.44,88.48,7.96
3910,8.94,18.72,8.36,70.92,6.72
3053,5.5,11.52,5.52,43.08,4.32
4464,10.86,24.12,10.12,95.28,8.56
5837,17.52,41.76,27.0,167.52,14.0
4396,10.48,24.36,9.72,91.08,7.88
8526,37.48,93.2,30.88,380.2,28.04
7241,26.98,65.16,23.4,265.52,19.88
3570,10.66,26.64,21.16,55.16,14.36
4105,9.62,21.48,9.2,77.88,7.4
3082,5.74,13.08,5.72,44.8,4.88
1594,2.12,4.12,2.48,12.2,1.68
8980,8.98,11.32,14.32,27.68,36.2
5376,14.7,37.32,13.8,141.76,12.32
2671,4.6,9.52,4.64,34.28,3.68
4090,9.18,20.64,9.04,79.52,7.44
5874,18.34,43.72,16.24,169.12,14.36
3477,6.96,15.72,6.84,56.64,5.52
2692,4.66,9.8,4.8,33.88,3.64
5516,16.26,38.68,14.76,148.64,12.4
4271,10.08,22.88,9.44,88.28,8.28
9464,43.38,115.52,36.2,494.08,37.28
6554,5.92,7.4,9.6,16.36,19.32
5581,16.3,39.24,14.8,154.48,13.92
3861,8.54,19.52,8.36,69.84,8.72
8511,8.7,11.2,16.64,25.64,33.68
8145,8.12,10.0,13.44,24.56,29.4
4192,9.62,21.96,9.92,83.56,7.6
3760,8.02,18.44,8.24,65.84,6.56
4534,11.2,25.6,10.4,100.48,8.96
2764,4.84,10.68,4.96,35.6,3.84
6453,20.88,52.28,18.32,213.16,16.6
9568,9.64,12.6,15.72,32.36,41.24
4416,12.86,25.28,9.84,97.6,8.72
4032,9.08,20.68,8.48,78.12,7.12
7511,7.16,9.2,11.52,21.76,25.08
