Knoten,Vektoren,Arrays
8340,872.24,241.52
6255,477.8,143.6
1518,39.88,11.36
1716,51.32,13.8
1885,62.08,18.36
4312,320.28,88.48
3910,261.88,70.92
3053,160.96,43.08
4464,340.52,95.28
5837,580.56,167.52
4396,325.08,91.08
8526,1224.64,380.2
7241,885.8,265.52
3570,137.36,55.16
4105,289.48,77.88
3082,162.68,44.8
1594,44.2,12.2
8980,93.88,27.68
5376,493.0,141.76
2671,124.28,34.28
4090,287.6,79.52
5874,578.12,169.12
3477,204.04,56.64
2692,122.28,33.88
5516,506.64,148.64
4271,306.24,88.28
9464,1514.52,494.08
6554,52.24,16.36
5581,529.08,154.48
3861,253.28,69.84
8511,82.68,25.64
8145,80.84,24.56
4192,296.08,83.56
3760,237.8,65.84
4534,343.84,100.48
2764,129.28,35.6
6453,698.24,213.16
9568,104.6,32.36
4416,328.72,97.6
4032,278.44,78.12
7511,68.16,21.76
